year,type,sales
2018,bookstores,9617
2017,bookstores,10375
2016,bookstores,10741
2015,bookstores,10998
2014,bookstores,11325
2013,bookstores,11489
2012,bookstores,12269
2011,bookstores,13716
2010,bookstores,15238
2009,bookstores,15802
2008,bookstores,16801
2007,bookstores,17171
2006,bookstores,16978
2005,bookstores,16992
2004,bookstores,16881
2003,bookstores,16219
2002,bookstores,15437
2001,bookstores,15098
2000,bookstores,14879
1999,bookstores,14172
1998,bookstores,13282
1997,bookstores,12742
1996,bookstores,11905
1995,bookstores,11196
1994,bookstores,10107
1993,bookstores,9108
1992,bookstores,8327
2018,ecommerce,18022
2017,ecommerce,15414
2016,ecommerce,13466
2015,ecommerce,12104
2014,ecommerce,11095
2013,ecommerce,10419
2012,ecommerce,9883
2011,ecommerce,8820
2010,ecommerce,7428
2009,ecommerce,6000
2008,ecommerce,5599
2007,ecommerce,5370
2006,ecommerce,3694
2005,ecommerce,2903
2004,ecommerce,2270
2003,ecommerce,1994
2002,ecommerce,1787
2001,ecommerce,1644
2000,ecommerce,1759
1999,ecommerce,1439
1998,ecommerce,0
1997,ecommerce,0
1996,ecommerce,0
1995,ecommerce,0
1994,ecommerce,0
1993,ecommerce,0
1992,ecommerce,0
