year,published,publisher
2010,19421,XLIBRIS
2011,17790,XLIBRIS
2012,14646,XLIBRIS
2013,13990,XLIBRIS
2014,11789,XLIBRIS
2015,7966,XLIBRIS
2016,9887,XLIBRIS
2017,9050,XLIBRIS
2018,8474,XLIBRIS
2010,51,BLURB
2011,264,BLURB
2012,2091,BLURB
2013,2842,BLURB
2014,17474,BLURB
2015,33188,BLURB
2016,22957,BLURB
2017,20656,BLURB
2018,19098,BLURB
2010,35693,CREATESPACE
2011,58862,CREATESPACE
2012,131460,CREATESPACE
2013,187846,CREATESPACE
2014,293442,CREATESPACE
2015,425752,CREATESPACE
2016,517707,CREATESPACE
2017,929295,CREATESPACE
2018,1416384,CREATESPACE
