age,avebooks,readprint,readaudio,readebook
16 to 26,45,1,0,0
16 to 26,16,2,0,1
16 to 26,3,1,0,0
16 to 26,20,1,0,0
16 to 26,12,1,0,0
16 to 26,7,2,0,1
16 to 26,22,2,0,1
16 to 26,37,1,0,1
16 to 26,6,2,1,0
16 to 26,26,5,0,0
16 to 26,7,9,0,2
16 to 26,5,1,0,0
16 to 26,4,1,0,0
16 to 26,8,1,0,0
16 to 26,51,1,0,0
16 to 26,4,1,0,0
16 to 26,0,1,0,0
16 to 26,10,2,0,0
16 to 26,50,1,0,0
16 to 26,8,3,1,1
16 to 26,13,2,0,0
16 to 26,6,3,1,0
16 to 26,12,3,0,1
16 to 26,30,1,0,0
16 to 26,25,3,1,1
16 to 26,15,4,2,1
16 to 26,26,3,1,0
16 to 26,30,16,1,2
16 to 26,12,10,0,3
16 to 26,4,1,0,0
16 to 26,20,1,0,0
16 to 26,11,2,0,1
16 to 26,10,1,0,1
16 to 26,70,1,0,0
16 to 26,2,1,0,0
16 to 26,26,3,0,2
16 to 26,5,1,0,1
16 to 26,5,1,0,0
16 to 26,6,1,0,0
16 to 26,5,2,0,0
16 to 26,7,1,0,0
16 to 26,33,3,0,1
16 to 26,2,3,0,0
16 to 26,3,1,0,0
16 to 26,52,2,0,1
16 to 26,11,2,0,1
16 to 26,6,3,1,0
16 to 26,16,2,0,0
16 to 26,4,2,0,1
16 to 26,20,2,0,1
16 to 26,3,3,1,0
16 to 26,15,1,0,1
16 to 26,1,2,0,1
16 to 26,30,1,1,1
16 to 26,1,1,1,0
16 to 26,5,0,0,0
16 to 26,10,1,0,0
16 to 26,16,2,0,0
16 to 26,1,1,0,0
16 to 26,10,2,0,2
16 to 26,9,3,0,1
16 to 26,12,1,0,1
16 to 26,9,2,0,2
16 to 26,6,1,0,0
16 to 26,36,3,0,0
16 to 26,6,4,1,2
16 to 26,5,2,0,0
16 to 26,4,1,0,0
16 to 26,34,2,1,0
16 to 26,1,1,0,0
16 to 26,3,1,0,0
16 to 26,3,1,0,1
16 to 26,39,3,0,1
16 to 26,14,2,1,0
16 to 26,4,1,0,0
16 to 26,13,3,1,2
16 to 26,20,1,0,1
16 to 26,50,1,0,1
16 to 26,10,5,1,3
16 to 26,11,2,0,1
16 to 26,20,2,0,1
16 to 26,36,2,1,1
16 to 26,12,1,0,0
16 to 26,15,1,0,0
16 to 26,20,1,0,0
16 to 26,5,1,1,1
16 to 26,10,1,0,1
16 to 26,2,1,0,0
16 to 26,8,2,1,2
16 to 26,5,1,0,0
16 to 26,7,1,0,0
16 to 26,50,1,0,0
16 to 26,12,1,0,0
16 to 26,51,2,0,1
16 to 26,5,2,0,0
16 to 26,48,3,0,0
16 to 26,21,2,0,0
16 to 26,9,3,0,1
16 to 26,15,2,0,2
16 to 26,30,4,0,1
16 to 26,14,3,0,1
16 to 26,4,1,0,0
16 to 26,10,1,0,0
16 to 26,19,4,0,1
16 to 26,11,3,0,2
16 to 26,9,2,1,0
16 to 26,7,2,0,0
16 to 26,9,3,1,0
16 to 26,33,2,0,0
16 to 26,6,2,1,0
16 to 26,20,1,1,0
16 to 26,26,2,0,2
16 to 26,8,2,0,1
16 to 26,17,4,0,2
16 to 26,7,2,0,1
16 to 26,9,2,2,1
16 to 26,83,2,1,0
16 to 26,25,0,0,1
16 to 26,3,1,0,0
16 to 26,15,1,0,0
