age,sex,avebooks,readprint,readaudio,readebook
16 to 26,Female,45,1,0,0
16 to 26,Female,3,1,0,0
16 to 26,Female,7,2,0,1
16 to 26,Female,26,5,0,0
16 to 26,Female,4,1,0,0
16 to 26,Female,0,1,0,0
16 to 26,Female,10,2,0,0
16 to 26,Female,8,3,1,1
16 to 26,Female,6,3,1,0
16 to 26,Female,30,1,0,0
16 to 26,Female,25,3,1,1
16 to 26,Female,26,3,1,0
16 to 26,Female,30,16,1,2
16 to 26,Female,20,1,0,0
16 to 26,Female,11,2,0,1
16 to 26,Female,70,1,0,0
16 to 26,Female,26,3,0,2
16 to 26,Female,5,1,0,1
16 to 26,Female,5,1,0,0
16 to 26,Female,7,1,0,0
16 to 26,Female,33,3,0,1
16 to 26,Female,3,1,0,0
16 to 26,Female,11,2,0,1
16 to 26,Female,16,2,0,0
16 to 26,Female,20,2,0,1
16 to 26,Female,30,1,1,1
16 to 26,Female,5,0,0,0
16 to 26,Female,10,1,0,0
16 to 26,Female,1,1,0,0
16 to 26,Female,6,1,0,0
16 to 26,Female,36,3,0,0
16 to 26,Female,5,2,0,0
16 to 26,Female,34,2,1,0
16 to 26,Female,39,3,0,1
16 to 26,Female,4,1,0,0
16 to 26,Female,20,1,0,1
16 to 26,Female,11,2,0,1
16 to 26,Female,36,2,1,1
16 to 26,Female,15,1,0,0
16 to 26,Female,20,1,0,0
16 to 26,Female,10,1,0,1
16 to 26,Female,8,2,1,2
16 to 26,Female,5,1,0,0
16 to 26,Female,7,1,0,0
16 to 26,Female,50,1,0,0
16 to 26,Female,12,1,0,0
16 to 26,Female,5,2,0,0
16 to 26,Female,21,2,0,0
16 to 26,Female,9,3,0,1
16 to 26,Female,30,4,0,1
16 to 26,Female,4,1,0,0
16 to 26,Female,19,4,0,1
16 to 26,Female,9,2,1,0
16 to 26,Female,7,2,0,0
16 to 26,Female,33,2,0,0
16 to 26,Female,20,1,1,0
16 to 26,Female,26,2,0,2
16 to 26,Female,7,2,0,1
16 to 26,Female,83,2,1,0
16 to 26,Female,15,1,0,0
16 to 26,Female,51,2,0,0
16 to 26,Female,8,2,0,1
16 to 26,Female,30,1,0,1
16 to 26,Female,50,6,0,3
16 to 26,Female,2,1,0,0
16 to 26,Female,20,1,0,0
16 to 26,Female,10,1,0,1
16 to 26,Female,6,2,0,1
16 to 26,Female,8,1,0,1
16 to 26,Female,30,1,0,1
16 to 26,Female,20,1,1,1
16 to 26,Female,3,1,0,0
16 to 26,Female,12,1,0,0
16 to 26,Female,30,1,1,0
16 to 26,Female,1,0,0,1
16 to 26,Female,10,1,0,0
16 to 26,Female,2,1,0,0
16 to 26,Female,5,1,0,0
16 to 26,Female,36,1,0,0
16 to 26,Female,8,4,0,0
16 to 26,Female,1,0,0,0
16 to 26,Female,30,1,0,0
16 to 26,Female,3,1,1,1
16 to 26,Female,25,1,0,0
16 to 26,Female,5,1,0,0
16 to 26,Female,3,1,0,0
16 to 26,Female,3,1,0,0
16 to 26,Female,40,0,0,0
16 to 26,Female,4,1,0,0
16 to 26,Female,12,1,0,1
16 to 26,Female,6,1,0,0
16 to 26,Female,97,1,0,1
16 to 26,Female,1,1,0,0
16 to 26,Female,15,1,0,0
16 to 26,Female,10,1,0,0
16 to 26,Female,5,0,0,0
16 to 26,Female,3,0,0,0
16 to 26,Female,3,1,0,0
16 to 26,Female,97,1,0,0
16 to 26,Female,5,1,0,0
16 to 26,Female,45,1,0,1
16 to 26,Female,3,1,0,0
16 to 26,Female,3,2,1,2
16 to 26,Female,5,1,0,0
16 to 26,Female,30,1,1,0
16 to 26,Female,13,1,0,0
16 to 26,Female,20,1,0,1
16 to 26,Female,4,1,0,0
16 to 26,Female,6,1,0,0
16 to 26,Female,97,1,1,0
16 to 26,Female,20,1,1,1
16 to 26,Female,30,0,1,0
16 to 26,Female,20,1,0,0
16 to 26,Female,4,1,0,0
16 to 26,Female,10,1,0,1
16 to 26,Female,10,0,0,1
16 to 26,Female,4,1,0,0
16 to 26,Female,10,0,0,0
16 to 26,Female,5,0,0,0
16 to 26,Female,30,1,0,0
16 to 26,Female,12,1,0,0
16 to 26,Female,10,1,0,0
16 to 26,Female,5,1,0,1
16 to 26,Female,20,1,0,0
16 to 26,Female,5,1,0,1
16 to 26,Female,4,1,0,0
16 to 26,Female,5,1,0,0
16 to 26,Female,11,2,0,2
16 to 26,Female,12,1,0,1
16 to 26,Female,6,2,0,0
16 to 26,Female,3,1,1,1
16 to 26,Female,3,0,0,1
16 to 26,Female,10,1,0,0
16 to 26,Female,4,2,0,0
16 to 26,Female,25,1,0,0
16 to 26,Female,3,1,1,1
16 to 26,Female,2,1,0,0
16 to 26,Female,30,1,0,1
16 to 26,Female,5,1,0,0
27 to 37,Female,2,1,0,0
27 to 37,Female,4,3,0,0
27 to 37,Female,5,1,0,0
27 to 37,Female,7,2,0,1
27 to 37,Female,30,1,0,1
27 to 37,Female,2,1,0,0
27 to 37,Female,20,3,1,0
27 to 37,Female,5,4,0,2
27 to 37,Female,12,1,0,0
27 to 37,Female,5,2,0,0
27 to 37,Female,7,2,0,0
27 to 37,Female,8,1,0,0
27 to 37,Female,97,1,0,0
27 to 37,Female,1,1,0,0
27 to 37,Female,5,2,0,0
27 to 37,Female,5,1,0,0
27 to 37,Female,97,1,0,1
27 to 37,Female,19,2,0,1
27 to 37,Female,2,1,0,0
27 to 37,Female,10,1,0,0
27 to 37,Female,22,3,0,0
27 to 37,Female,8,4,0,1
27 to 37,Female,11,5,0,2
27 to 37,Female,23,5,1,4
27 to 37,Female,18,7,0,4
27 to 37,Female,12,3,1,2
27 to 37,Female,8,2,1,1
27 to 37,Female,30,1,0,1
27 to 37,Female,5,1,0,0
27 to 37,Female,5,1,0,0
27 to 37,Female,15,5,2,4
27 to 37,Female,16,3,1,2
27 to 37,Female,19,2,1,2
27 to 37,Female,22,2,0,1
27 to 37,Female,17,2,0,0
27 to 37,Female,3,1,0,0
27 to 37,Female,3,1,0,0
27 to 37,Female,1,0,1,1
27 to 37,Female,33,3,1,2
27 to 37,Female,6,2,0,1
27 to 37,Female,41,3,0,2
27 to 37,Female,1,1,0,0
27 to 37,Female,7,4,0,1
27 to 37,Female,20,1,0,1
27 to 37,Female,30,2,2,2
27 to 37,Female,2,1,0,0
27 to 37,Female,16,5,1,3
27 to 37,Female,97,1,0,1
27 to 37,Female,10,1,0,0
27 to 37,Female,20,0,0,1
27 to 37,Female,25,1,0,0
27 to 37,Female,13,1,0,0
27 to 37,Female,50,2,1,1
27 to 37,Female,18,2,1,1
27 to 37,Female,2,1,0,0
27 to 37,Female,10,1,1,1
27 to 37,Female,22,2,0,0
27 to 37,Female,57,3,0,2
27 to 37,Female,33,7,2,3
27 to 37,Female,13,7,1,3
27 to 37,Female,29,3,2,1
27 to 37,Female,8,1,0,1
27 to 37,Female,8,1,1,0
27 to 37,Female,50,1,1,1
27 to 37,Female,2,1,0,0
27 to 37,Female,5,1,0,1
27 to 37,Female,48,1,0,1
27 to 37,Female,8,0,0,1
27 to 37,Female,45,1,0,0
27 to 37,Female,1,1,0,0
27 to 37,Female,20,1,0,0
27 to 37,Female,4,2,0,1
27 to 37,Female,5,0,0,0
27 to 37,Female,15,1,0,1
27 to 37,Female,6,3,0,1
27 to 37,Female,7,1,0,0
27 to 37,Female,2,1,0,0
27 to 37,Female,5,1,1,1
27 to 37,Female,5,0,0,1
27 to 37,Female,4,1,0,0
27 to 37,Female,8,2,0,0
27 to 37,Female,50,1,0,0
27 to 37,Female,11,2,1,1
27 to 37,Female,6,1,0,1
27 to 37,Female,12,1,0,0
27 to 37,Female,1,1,0,0
27 to 37,Female,2,1,0,0
27 to 37,Female,10,1,1,1
27 to 37,Female,20,0,1,0
27 to 37,Female,4,0,1,1
27 to 37,Female,1,1,0,0
27 to 37,Female,15,1,1,0
27 to 37,Female,3,1,1,0
27 to 37,Female,3,1,0,0
27 to 37,Female,6,1,0,1
27 to 37,Female,25,1,0,1
27 to 37,Female,50,1,0,0
27 to 37,Female,3,1,0,1
27 to 37,Female,10,0,0,0
27 to 37,Female,5,1,1,1
27 to 37,Female,3,1,1,1
27 to 37,Female,15,1,0,0
27 to 37,Female,7,1,0,0
27 to 37,Female,15,1,1,1
27 to 37,Female,15,2,0,2
27 to 37,Female,3,0,1,1
27 to 37,Female,4,1,0,0
27 to 37,Female,6,0,0,1
27 to 37,Female,15,1,1,1
27 to 37,Female,30,1,1,1
27 to 37,Female,15,1,0,0
27 to 37,Female,10,1,0,0
38 to 48,Female,2,1,0,0
38 to 48,Female,4,0,0,1
38 to 48,Female,0,1,0,0
38 to 48,Female,6,1,0,0
38 to 48,Female,12,1,1,1
38 to 48,Female,48,1,0,0
38 to 48,Female,30,1,1,1
38 to 48,Female,1,1,0,0
38 to 48,Female,54,1,0,1
38 to 48,Female,5,1,0,0
38 to 48,Female,7,2,0,1
38 to 48,Female,6,2,2,0
38 to 48,Female,11,7,1,1
38 to 48,Female,22,3,0,2
38 to 48,Female,5,0,0,0
38 to 48,Female,15,2,0,0
38 to 48,Female,3,1,0,0
38 to 48,Female,10,1,0,0
38 to 48,Female,5,1,0,0
38 to 48,Female,25,1,0,0
38 to 48,Female,15,1,0,1
38 to 48,Female,5,1,0,0
38 to 48,Female,97,1,0,0
38 to 48,Female,39,4,0,3
38 to 48,Female,10,1,0,1
38 to 48,Female,15,0,0,0
38 to 48,Female,6,2,0,0
38 to 48,Female,5,4,0,0
38 to 48,Female,1,1,0,0
38 to 48,Female,27,2,0,0
38 to 48,Female,26,4,1,1
38 to 48,Female,15,3,0,2
38 to 48,Female,4,1,0,0
38 to 48,Female,4,6,1,1
38 to 48,Female,24,9,2,7
38 to 48,Female,12,3,1,1
38 to 48,Female,4,1,1,1
