age,sex,avebooks,readprint,readaudio,readebook
16 to 26,Male,16,2,0,1
16 to 26,Male,20,1,0,0
16 to 26,Male,12,1,0,0
16 to 26,Male,22,2,0,1
16 to 26,Male,37,1,0,1
16 to 26,Male,6,2,1,0
16 to 26,Male,7,9,0,2
16 to 26,Male,5,1,0,0
16 to 26,Male,8,1,0,0
16 to 26,Male,51,1,0,0
16 to 26,Male,4,1,0,0
16 to 26,Male,50,1,0,0
16 to 26,Male,13,2,0,0
16 to 26,Male,12,3,0,1
16 to 26,Male,15,4,2,1
16 to 26,Male,12,10,0,3
16 to 26,Male,4,1,0,0
16 to 26,Male,10,1,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,6,1,0,0
16 to 26,Male,5,2,0,0
16 to 26,Male,2,3,0,0
16 to 26,Male,52,2,0,1
16 to 26,Male,6,3,1,0
16 to 26,Male,4,2,0,1
16 to 26,Male,3,3,1,0
16 to 26,Male,15,1,0,1
16 to 26,Male,1,2,0,1
16 to 26,Male,1,1,1,0
16 to 26,Male,16,2,0,0
16 to 26,Male,10,2,0,2
16 to 26,Male,9,3,0,1
16 to 26,Male,12,1,0,1
16 to 26,Male,9,2,0,2
16 to 26,Male,6,4,1,2
16 to 26,Male,4,1,0,0
16 to 26,Male,1,1,0,0
16 to 26,Male,3,1,0,0
16 to 26,Male,3,1,0,1
16 to 26,Male,14,2,1,0
16 to 26,Male,13,3,1,2
16 to 26,Male,50,1,0,1
16 to 26,Male,10,5,1,3
16 to 26,Male,20,2,0,1
16 to 26,Male,12,1,0,0
16 to 26,Male,5,1,1,1
16 to 26,Male,2,1,0,0
16 to 26,Male,51,2,0,1
16 to 26,Male,48,3,0,0
16 to 26,Male,15,2,0,2
16 to 26,Male,14,3,0,1
16 to 26,Male,10,1,0,0
16 to 26,Male,11,3,0,2
16 to 26,Male,9,3,1,0
16 to 26,Male,6,2,1,0
16 to 26,Male,8,2,0,1
16 to 26,Male,17,4,0,2
16 to 26,Male,9,2,2,1
16 to 26,Male,25,0,0,1
16 to 26,Male,3,1,0,0
16 to 26,Male,5,0,0,1
16 to 26,Male,20,2,0,2
16 to 26,Male,20,4,2,1
16 to 26,Male,97,1,1,1
16 to 26,Male,97,1,0,0
16 to 26,Male,18,2,0,0
16 to 26,Male,40,1,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,7,1,0,0
16 to 26,Male,97,1,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,12,0,0,0
16 to 26,Male,25,1,0,1
16 to 26,Male,30,1,0,0
16 to 26,Male,4,4,0,0
16 to 26,Male,60,1,1,0
16 to 26,Male,3,1,0,0
16 to 26,Male,10,1,0,0
16 to 26,Male,4,2,1,1
16 to 26,Male,16,1,0,0
16 to 26,Male,30,1,0,1
16 to 26,Male,30,1,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,52,2,0,0
16 to 26,Male,9,1,1,0
16 to 26,Male,3,1,0,0
16 to 26,Male,1,1,0,0
16 to 26,Male,1,0,0,0
16 to 26,Male,30,1,0,1
16 to 26,Male,5,1,0,0
16 to 26,Male,7,1,0,0
16 to 26,Male,7,0,0,1
16 to 26,Male,35,1,0,0
16 to 26,Male,2,1,1,0
16 to 26,Male,40,1,0,0
16 to 26,Male,3,2,3,1
16 to 26,Male,4,1,0,0
16 to 26,Male,4,1,0,0
16 to 26,Male,3,1,0,1
16 to 26,Male,30,1,0,0
16 to 26,Male,10,1,0,1
16 to 26,Male,1,0,0,1
16 to 26,Male,3,1,0,1
16 to 26,Male,12,1,0,0
16 to 26,Male,20,1,0,1
16 to 26,Male,38,1,1,1
16 to 26,Male,5,1,0,1
16 to 26,Male,8,1,0,1
16 to 26,Male,3,1,0,0
16 to 26,Male,20,1,0,1
16 to 26,Male,75,1,0,1
16 to 26,Male,1,0,0,0
16 to 26,Male,24,1,0,0
16 to 26,Male,2,1,0,0
16 to 26,Male,50,1,0,0
16 to 26,Male,12,2,0,1
16 to 26,Male,7,1,1,1
16 to 26,Male,4,1,0,0
16 to 26,Male,5,2,0,2
16 to 26,Male,20,1,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,40,1,0,0
16 to 26,Male,50,1,0,1
16 to 26,Male,1,1,0,0
16 to 26,Male,27,2,0,0
16 to 26,Male,20,1,0,0
16 to 26,Male,6,1,1,1
16 to 26,Male,5,1,0,0
16 to 26,Male,5,0,0,0
16 to 26,Male,3,1,1,0
16 to 26,Male,7,1,0,1
16 to 26,Male,8,2,0,1
16 to 26,Male,2,1,0,0
16 to 26,Male,30,1,0,1
16 to 26,Male,47,1,0,1
27 to 37,Male,48,1,0,0
27 to 37,Male,50,1,1,1
27 to 37,Male,50,1,0,0
27 to 37,Male,5,0,1,1
27 to 37,Male,1,1,0,0
27 to 37,Male,30,2,1,1
27 to 37,Male,10,1,0,0
27 to 37,Male,1,1,0,0
27 to 37,Male,3,3,0,1
27 to 37,Male,20,5,1,1
27 to 37,Male,8,5,1,2
27 to 37,Male,9,2,1,2
27 to 37,Male,4,2,0,0
27 to 37,Male,1,1,0,0
27 to 37,Male,48,1,0,1
27 to 37,Male,1,2,0,0
27 to 37,Male,2,1,0,0
27 to 37,Male,25,1,1,1
27 to 37,Male,17,2,0,0
27 to 37,Male,5,2,0,1
27 to 37,Male,7,6,4,3
27 to 37,Male,7,9,3,4
27 to 37,Male,11,7,2,3
27 to 37,Male,4,3,0,1
27 to 37,Male,40,1,0,1
27 to 37,Male,3,1,0,0
27 to 37,Male,97,1,0,0
27 to 37,Male,97,1,1,1
27 to 37,Male,20,2,0,0
27 to 37,Male,2,1,0,1
27 to 37,Male,15,1,0,0
27 to 37,Male,4,1,0,1
27 to 37,Male,18,13,3,4
27 to 37,Male,14,3,1,2
27 to 37,Male,20,1,0,1
27 to 37,Male,50,1,1,1
27 to 37,Male,1,1,1,1
27 to 37,Male,30,1,0,0
27 to 37,Male,4,1,0,0
27 to 37,Male,5,1,0,0
27 to 37,Male,20,1,0,1
27 to 37,Male,10,1,0,0
27 to 37,Male,8,3,1,0
27 to 37,Male,19,4,4,3
27 to 37,Male,21,7,2,6
27 to 37,Male,14,12,5,11
27 to 37,Male,13,3,0,1
27 to 37,Male,1,1,0,0
27 to 37,Male,15,1,1,1
27 to 37,Male,6,1,0,0
27 to 37,Male,12,1,0,0
27 to 37,Male,1,1,0,0
27 to 37,Male,3,1,0,0
27 to 37,Male,3,1,0,0
27 to 37,Male,3,1,0,0
27 to 37,Male,6,1,0,0
27 to 37,Male,5,1,1,1
27 to 37,Male,4,1,0,0
27 to 37,Male,5,1,0,0
27 to 37,Male,6,1,0,1
27 to 37,Male,9,1,0,0
27 to 37,Male,4,1,0,0
27 to 37,Male,6,1,0,0
27 to 37,Male,4,1,0,0
27 to 37,Male,30,1,1,0
27 to 37,Male,3,1,0,0
27 to 37,Male,30,1,0,1
27 to 37,Male,12,3,0,1
27 to 37,Male,2,1,0,0
27 to 37,Male,20,1,0,0
27 to 37,Male,24,1,0,1
27 to 37,Male,3,2,0,0
27 to 37,Male,6,1,0,0
27 to 37,Male,20,1,0,0
27 to 37,Male,97,0,1,1
27 to 37,Male,2,1,0,0
27 to 37,Male,97,1,0,1
27 to 37,Male,2,1,0,1
27 to 37,Male,6,2,0,0
27 to 37,Male,12,1,0,0
27 to 37,Male,6,1,0,1
27 to 37,Male,1,1,0,0
27 to 37,Male,5,2,1,1
27 to 37,Male,55,1,1,1
27 to 37,Male,3,1,0,0
27 to 37,Male,60,1,0,0
27 to 37,Male,30,1,1,0
27 to 37,Male,3,0,0,1
27 to 37,Male,2,1,0,0
27 to 37,Male,3,0,0,1
27 to 37,Male,4,1,0,0
