sex,avebooks,readprint,readaudio,readebook
Female,45,1,0,0
Male,16,2,0,1
Female,3,1,0,0
Male,20,1,0,0
Male,12,1,0,0
Female,7,2,0,1
Male,22,2,0,1
Male,37,1,0,1
Male,6,2,1,0
Female,26,5,0,0
Male,7,9,0,2
Male,5,1,0,0
Female,4,1,0,0
Male,8,1,0,0
Male,51,1,0,0
Male,4,1,0,0
Female,0,1,0,0
Female,10,2,0,0
Male,50,1,0,0
Female,8,3,1,1
Male,13,2,0,0
Female,6,3,1,0
Male,12,3,0,1
Female,30,1,0,0
Female,25,3,1,1
Male,15,4,2,1
Female,26,3,1,0
Female,30,16,1,2
Male,12,10,0,3
Male,4,1,0,0
Female,20,1,0,0
Female,11,2,0,1
Male,10,1,0,1
Female,70,1,0,0
Male,2,1,0,0
Female,26,3,0,2
Female,5,1,0,1
Female,5,1,0,0
Male,6,1,0,0
Male,5,2,0,0
Female,7,1,0,0
Female,33,3,0,1
Male,2,3,0,0
Female,3,1,0,0
Male,52,2,0,1
Female,11,2,0,1
Male,6,3,1,0
Female,16,2,0,0
Male,4,2,0,1
Female,20,2,0,1
Male,3,3,1,0
Male,15,1,0,1
Male,1,2,0,1
Female,30,1,1,1
Male,1,1,1,0
Female,5,0,0,0
Female,10,1,0,0
Male,16,2,0,0
Female,1,1,0,0
Male,10,2,0,2
Male,9,3,0,1
Male,12,1,0,1
Male,9,2,0,2
Female,6,1,0,0
Female,36,3,0,0
Male,6,4,1,2
Female,5,2,0,0
Male,4,1,0,0
Female,34,2,1,0
Male,1,1,0,0
Male,3,1,0,0
Male,3,1,0,1
Female,39,3,0,1
Male,14,2,1,0
Female,4,1,0,0
Male,13,3,1,2
Female,20,1,0,1
Male,50,1,0,1
Male,10,5,1,3
Female,11,2,0,1
Male,20,2,0,1
Female,36,2,1,1
Male,12,1,0,0
Female,15,1,0,0
Female,20,1,0,0
Male,5,1,1,1
Female,10,1,0,1
Male,2,1,0,0
Female,8,2,1,2
Female,5,1,0,0
Female,7,1,0,0
Female,50,1,0,0
Female,12,1,0,0
Male,51,2,0,1
Female,5,2,0,0
Male,48,3,0,0
Female,21,2,0,0
Female,9,3,0,1
Male,15,2,0,2
Female,30,4,0,1
Male,14,3,0,1
Female,4,1,0,0
Male,10,1,0,0
Female,19,4,0,1
Male,11,3,0,2
Female,9,2,1,0
Female,7,2,0,0
Male,9,3,1,0
Female,33,2,0,0
Male,6,2,1,0
Female,20,1,1,0
Female,26,2,0,2
Male,8,2,0,1
Male,17,4,0,2
Female,7,2,0,1
Male,9,2,2,1
Female,83,2,1,0
Male,25,0,0,1
Male,3,1,0,0
Female,15,1,0,0
Female,51,2,0,0
Male,5,0,0,1
Female,8,2,0,1
Female,30,1,0,1
Male,20,2,0,2
Female,50,6,0,3
Male,20,4,2,1
Female,2,1,0,0
Male,97,1,1,1
Female,20,1,0,0
Male,97,1,0,0
Male,18,2,0,0
Female,10,1,0,1
Female,6,2,0,1
Female,8,1,0,1
Male,40,1,0,1
Female,30,1,0,1
Male,2,1,0,0
Female,20,1,1,1
Female,3,1,0,0
Male,7,1,0,0
Male,97,1,0,1
Male,2,1,0,0
Female,12,1,0,0
Male,12,0,0,0
Female,30,1,1,0
Female,1,0,0,1
Male,25,1,0,1
Female,10,1,0,0
Female,2,1,0,0
Male,30,1,0,0
Female,5,1,0,0
Male,4,4,0,0
Male,60,1,1,0
Female,36,1,0,0
Male,3,1,0,0
Male,10,1,0,0
Female,8,4,0,0
Male,4,2,1,1
Female,1,0,0,0
Male,16,1,0,0
Female,30,1,0,0
Female,3,1,1,1
Female,25,1,0,0
Male,30,1,0,1
Female,5,1,0,0
Male,30,1,0,1
Male,2,1,0,0
Male,52,2,0,0
Male,9,1,1,0
Female,3,1,0,0
Male,3,1,0,0
Female,3,1,0,0
Male,1,1,0,0
Male,1,0,0,0
Male,30,1,0,1
Female,40,0,0,0
Male,5,1,0,0
Female,4,1,0,0
Female,12,1,0,1
Female,6,1,0,0
Male,7,1,0,0
Female,97,1,0,1
Female,1,1,0,0
Female,15,1,0,0
Female,10,1,0,0
Male,7,0,0,1
Female,5,0,0,0
Male,35,1,0,0
Female,3,0,0,0
Male,2,1,1,0
Female,3,1,0,0
Female,97,1,0,0
Male,40,1,0,0
Male,3,2,3,1
Female,5,1,0,0
Female,45,1,0,1
Male,4,1,0,0
Female,3,1,0,0
Male,4,1,0,0
Male,3,1,0,1
Female,3,2,1,2
Female,5,1,0,0
Female,30,1,1,0
Male,30,1,0,0
Female,13,1,0,0
Female,20,1,0,1
Female,4,1,0,0
Male,10,1,0,1
Female,6,1,0,0
Male,1,0,0,1
Female,97,1,1,0
Male,3,1,0,1
Female,20,1,1,1
Female,30,0,1,0
Male,12,1,0,0
Female,20,1,0,0
Male,20,1,0,1
Female,4,1,0,0
Male,38,1,1,1
Female,10,1,0,1
Male,5,1,0,1
Male,8,1,0,1
Male,3,1,0,0
Male,20,1,0,1
Male,75,1,0,1
Male,1,0,0,0
Female,10,0,0,1
Male,24,1,0,0
Male,2,1,0,0
Female,4,1,0,0
Male,50,1,0,0
Female,10,0,0,0
Female,5,0,0,0
Female,30,1,0,0
Female,12,1,0,0
Male,12,2,0,1
Female,10,1,0,0
Male,7,1,1,1
Female,5,1,0,1
Male,4,1,0,0
Male,5,2,0,2
Female,20,1,0,0
Male,20,1,0,1
Female,5,1,0,1
Male,2,1,0,0
Male,40,1,0,0
Male,50,1,0,1
Female,4,1,0,0
Female,5,1,0,0
Female,11,2,0,2
Male,1,1,0,0
Male,27,2,0,0
Male,20,1,0,0
Female,12,1,0,1
