avebooks,readprint,readaudio,readebook
45,1,0,0
16,2,0,1
3,1,0,0
20,1,0,0
12,1,0,0
7,2,0,1
22,2,0,1
37,1,0,1
6,2,1,0
26,5,0,0
7,9,0,2
5,1,0,0
4,1,0,0
8,1,0,0
51,1,0,0
4,1,0,0
0,1,0,0
10,2,0,0
50,1,0,0
8,3,1,1
13,2,0,0
6,3,1,0
12,3,0,1
30,1,0,0
25,3,1,1
15,4,2,1
26,3,1,0
30,16,1,2
12,10,0,3
4,1,0,0
20,1,0,0
11,2,0,1
10,1,0,1
70,1,0,0
2,1,0,0
26,3,0,2
5,1,0,1
5,1,0,0
6,1,0,0
5,2,0,0
7,1,0,0
33,3,0,1
2,3,0,0
3,1,0,0
52,2,0,1
11,2,0,1
6,3,1,0
16,2,0,0
4,2,0,1
20,2,0,1
3,3,1,0
15,1,0,1
1,2,0,1
30,1,1,1
1,1,1,0
5,0,0,0
10,1,0,0
16,2,0,0
1,1,0,0
10,2,0,2
9,3,0,1
12,1,0,1
9,2,0,2
6,1,0,0
36,3,0,0
6,4,1,2
5,2,0,0
4,1,0,0
34,2,1,0
1,1,0,0
3,1,0,0
3,1,0,1
39,3,0,1
14,2,1,0
4,1,0,0
13,3,1,2
20,1,0,1
50,1,0,1
10,5,1,3
11,2,0,1
20,2,0,1
36,2,1,1
12,1,0,0
15,1,0,0
20,1,0,0
5,1,1,1
10,1,0,1
2,1,0,0
8,2,1,2
5,1,0,0
7,1,0,0
50,1,0,0
12,1,0,0
51,2,0,1
5,2,0,0
48,3,0,0
21,2,0,0
9,3,0,1
15,2,0,2
30,4,0,1
14,3,0,1
4,1,0,0
10,1,0,0
19,4,0,1
11,3,0,2
9,2,1,0
7,2,0,0
9,3,1,0
33,2,0,0
6,2,1,0
20,1,1,0
26,2,0,2
8,2,0,1
17,4,0,2
7,2,0,1
9,2,2,1
83,2,1,0
25,0,0,1
3,1,0,0
15,1,0,0
51,2,0,0
5,0,0,1
8,2,0,1
30,1,0,1
20,2,0,2
50,6,0,3
20,4,2,1
2,1,0,0
97,1,1,1
20,1,0,0
97,1,0,0
18,2,0,0
10,1,0,1
6,2,0,1
8,1,0,1
40,1,0,1
30,1,0,1
2,1,0,0
20,1,1,1
3,1,0,0
7,1,0,0
97,1,0,1
2,1,0,0
12,1,0,0
12,0,0,0
30,1,1,0
1,0,0,1
25,1,0,1
10,1,0,0
2,1,0,0
30,1,0,0
5,1,0,0
4,4,0,0
60,1,1,0
36,1,0,0
3,1,0,0
10,1,0,0
8,4,0,0
4,2,1,1
1,0,0,0
16,1,0,0
30,1,0,0
3,1,1,1
25,1,0,0
30,1,0,1
5,1,0,0
30,1,0,1
2,1,0,0
52,2,0,0
9,1,1,0
3,1,0,0
3,1,0,0
3,1,0,0
1,1,0,0
1,0,0,0
30,1,0,1
