age,sex,race,education,employment,income,avebooks,readprint,readaudio,readebook,borrowed,lib, bought, other, news, mags, total
16 to 26,Female,White,High school incomplete,Employed part-time,$10k to under $20k,45,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,White,High school incomplete,Employed part-time,$10k to under $20k,16,2,0,1,1,0,1,0,2,0,2
16 to 26,Female,White,High school incomplete,Employed part-time,$20k to under $30k,3,1,0,0,0,1,0,0,0,0,1
16 to 26,Male,White,High school incomplete,Employed part-time,$20k to under $30k,20,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,High school incomplete,Employed part-time,$30k to under $40k,12,1,0,0,0,1,0,0,1,0,2
16 to 26,Female,White,High school incomplete,Employed part-time,$40k to under $50k,7,2,0,1,0,0,0,2,0,0,2
16 to 26,Male,White,High school incomplete,Employed part-time,$40k to under $50k,22,2,0,1,0,1,1,0,0,1,2
16 to 26,Male,White,High school incomplete,Employed part-time,$50k to under $75k,37,1,0,1,0,0,2,0,1,2,2
16 to 26,Male,White,High school incomplete,Employed part-time,$75k to under $100k,6,2,1,0,0,0,1,1,2,2,2
16 to 26,Female,White,High school incomplete,Employed part-time,$100k to under $150k,26,5,0,0,2,0,2,1,0,2,5
16 to 26,Male,White,High school incomplete,Employed part-time,$100k to under $150k,7,9,0,2,3,4,1,1,6,4,9
16 to 26,Male,White,High school incomplete,Employed part-time,Unknown,5,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,White,High school incomplete,Employed full-time,Less than $10k,4,1,0,0,0,0,1,0,1,0,1
16 to 26,Male,White,High school incomplete,Employed full-time,Less than $10k,8,1,0,0,1,0,0,0,1,0,2
16 to 26,Male,White,High school incomplete,Employed full-time,$30k to under $40k,51,1,0,0,0,0,0,1,0,1,1
16 to 26,Male,White,High school incomplete,Employed full-time,$75k to under $100k,4,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,White,High school incomplete,Not employed for pay,Less than $10k,0,1,0,0,0,1,0,0,1,0,2
16 to 26,Female,White,High school incomplete,Not employed for pay,$10k to under $20k,10,2,0,0,0,2,0,0,0,0,2
16 to 26,Male,White,High school incomplete,Not employed for pay,$10k to under $20k,50,1,0,0,0,0,0,1,0,0,1
16 to 26,Female,White,High school incomplete,Not employed for pay,$20k to under $30k,8,3,1,1,1,1,1,0,1,3,3
16 to 26,Male,White,High school incomplete,Not employed for pay,$20k to under $30k,13,2,0,0,0,2,0,0,1,2,2
16 to 26,Female,White,High school incomplete,Not employed for pay,$30k to under $40k,6,3,1,0,0,1,2,0,0,1,3
16 to 26,Male,White,High school incomplete,Not employed for pay,$30k to under $40k,12,3,0,1,1,1,0,1,1,1,3
16 to 26,Female,White,High school incomplete,Not employed for pay,$40k to under $50k,30,1,0,0,0,0,1,0,1,1,1
16 to 26,Female,White,High school incomplete,Not employed for pay,$50k to under $75k,25,3,1,1,0,0,3,0,2,2,3
16 to 26,Male,White,High school incomplete,Not employed for pay,$50k to under $75k,15,4,2,1,1,1,1,1,1,3,4
16 to 26,Female,White,High school incomplete,Not employed for pay,$75k to under $100k,26,3,1,0,1,0,1,1,2,2,3
16 to 26,Female,White,High school incomplete,Not employed for pay,$100k to under $150k,30,16,1,2,3,3,9,2,4,8,18
16 to 26,Male,White,High school incomplete,Not employed for pay,$100k to under $150k,12,10,0,3,0,4,0,7,7,5,11
16 to 26,Male,White,High school incomplete,Not employed for pay,Unknown,4,1,0,0,1,0,0,0,0,1,1
16 to 26,Female,White,High school incomplete,Student,$20k to under $30k,20,1,0,0,0,1,0,0,1,1,1
16 to 26,Female,White,High school incomplete,Student,$100k to under $150k,11,2,0,1,1,0,0,1,0,1,2
16 to 26,Male,White,High school graduate,Have own business/self-employed,$40k to under $50k,10,1,0,1,0,0,1,0,1,1,1
16 to 26,Female,White,High school graduate,Employed part-time,Less than $10k,70,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,High school graduate,Employed part-time,Less than $10k,2,1,0,0,0,1,0,0,1,1,1
16 to 26,Female,White,High school graduate,Employed part-time,$20k to under $30k,26,3,0,2,0,0,3,0,2,3,4
16 to 26,Female,White,High school graduate,Employed part-time,$30k to under $40k,5,1,0,1,0,0,1,0,1,0,1
16 to 26,Female,White,High school graduate,Employed part-time,$40k to under $50k,5,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,White,High school graduate,Employed part-time,$40k to under $50k,6,1,0,0,1,0,1,0,1,1,2
16 to 26,Male,White,High school graduate,Employed part-time,$50k to under $75k,5,2,0,0,1,0,1,0,0,0,2
16 to 26,Female,White,High school graduate,Employed part-time,$75k to under $100k,7,1,0,0,0,0,1,0,1,1,1
16 to 26,Female,White,High school graduate,Employed part-time,$100k to under $150k,33,3,0,1,1,0,2,0,3,1,3
16 to 26,Male,White,High school graduate,Employed part-time,$100k to under $150k,2,3,0,0,0,0,2,1,2,3,3
16 to 26,Female,White,High school graduate,Employed full-time,Less than $10k,3,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,White,High school graduate,Employed full-time,Less than $10k,52,2,0,1,1,0,1,0,1,1,2
16 to 26,Female,White,High school graduate,Employed full-time,$10k to under $20k,11,2,0,1,0,0,1,1,0,0,2
16 to 26,Male,White,High school graduate,Employed full-time,$10k to under $20k,6,3,1,0,1,0,2,0,1,0,3
16 to 26,Female,White,High school graduate,Employed full-time,$20k to under $30k,16,2,0,0,1,0,1,0,0,0,2
16 to 26,Male,White,High school graduate,Employed full-time,$20k to under $30k,4,2,0,1,0,0,2,0,1,2,4
16 to 26,Female,White,High school graduate,Employed full-time,$30k to under $40k,20,2,0,1,1,0,1,1,3,2,3
16 to 26,Male,White,High school graduate,Employed full-time,$30k to under $40k,3,3,1,0,3,0,0,0,1,0,4
16 to 26,Male,White,High school graduate,Employed full-time,$40k to under $50k,15,1,0,1,0,1,0,0,1,1,2
16 to 26,Male,White,High school graduate,Employed full-time,$50k to under $75k,1,2,0,1,0,0,2,0,2,0,4
16 to 26,Female,White,High school graduate,Employed full-time,$75k to under $100k,30,1,1,1,0,0,1,0,1,0,1
16 to 26,Male,White,High school graduate,Employed full-time,$100k to under $150k,1,1,1,0,1,0,0,1,1,2,2
16 to 26,Female,White,High school graduate,Not employed for pay,Less than $10k,5,0,0,0,0,1,0,0,1,0,1
16 to 26,Female,White,High school graduate,Not employed for pay,$10k to under $20k,10,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,High school graduate,Not employed for pay,$10k to under $20k,16,2,0,0,0,1,1,0,2,1,2
16 to 26,Female,White,High school graduate,Not employed for pay,$20k to under $30k,1,1,0,0,1,0,0,0,0,0,1
16 to 26,Male,White,High school graduate,Not employed for pay,$20k to under $30k,10,2,0,2,0,1,1,0,0,0,2
16 to 26,Male,White,High school graduate,Not employed for pay,$30k to under $40k,9,3,0,1,1,0,1,1,2,2,3
16 to 26,Male,White,High school graduate,Not employed for pay,$40k to under $50k,12,1,0,1,0,0,1,0,1,0,1
16 to 26,Male,White,High school graduate,Not employed for pay,$50k to under $75k,9,2,0,2,1,1,1,0,1,1,4
16 to 26,Female,White,High school graduate,Not employed for pay,$75k to under $100k,6,1,0,0,0,0,1,0,0,0,1
16 to 26,Female,White,High school graduate,Not employed for pay,$100k to under $150k,36,3,0,0,0,0,2,1,0,1,3
16 to 26,Male,White,High school graduate,Not employed for pay,$100k to under $150k,6,4,1,2,0,1,4,0,2,3,8
16 to 26,Female,White,High school graduate,Student,$100k to under $150k,5,2,0,0,0,0,1,1,0,1,2
16 to 26,Male,White,College graduate,Employed part-time,$20k to under $30k,4,1,0,0,0,0,1,0,1,0,1
16 to 26,Female,White,College graduate,Employed part-time,$100k to under $150k,34,2,1,0,1,0,1,0,2,1,2
16 to 26,Male,White,College graduate,Employed part-time,$100k to under $150k,1,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,College graduate,Employed full-time,Less than $10k,3,1,0,0,0,0,1,0,1,0,1
16 to 26,Male,White,College graduate,Employed full-time,$10k to under $20k,3,1,0,1,0,0,1,0,1,0,1
16 to 26,Female,White,College graduate,Employed full-time,$20k to under $30k,39,3,0,1,1,0,2,0,0,0,3
16 to 26,Male,White,College graduate,Employed full-time,$20k to under $30k,14,2,1,0,1,1,0,0,0,0,2
16 to 26,Female,White,College graduate,Employed full-time,$30k to under $40k,4,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,College graduate,Employed full-time,$30k to under $40k,13,3,1,2,1,0,1,1,3,1,3
16 to 26,Female,White,College graduate,Employed full-time,$40k to under $50k,20,1,0,1,0,0,1,0,0,0,1
16 to 26,Male,White,College graduate,Employed full-time,$40k to under $50k,50,1,0,1,0,0,1,0,1,1,1
16 to 26,Male,White,College graduate,Employed full-time,$50k to under $75k,10,5,1,3,2,1,2,1,4,5,6
16 to 26,Female,White,College graduate,Employed full-time,$75k to under $100k,11,2,0,1,0,0,2,0,0,2,2
16 to 26,Male,White,College graduate,Employed full-time,$75k to under $100k,20,2,0,1,0,0,1,1,2,2,2
16 to 26,Female,White,College graduate,Employed full-time,$100k to under $150k,36,2,1,1,1,0,1,0,1,1,2
16 to 26,Male,White,College graduate,Employed full-time,$100k to under $150k,12,1,0,0,0,1,0,0,1,1,1
16 to 26,Female,White,College graduate,Not employed for pay,$30k to under $40k,15,1,0,0,0,0,1,0,0,0,1
16 to 26,Female,White,College graduate,Not employed for pay,$40k to under $50k,20,1,0,0,0,0,1,0,0,1,1
16 to 26,Male,White,College graduate,Not employed for pay,$40k to under $50k,5,1,1,1,0,0,1,0,1,0,1
16 to 26,Female,White,College graduate,Not employed for pay,$50k to under $75k,10,1,0,1,0,0,1,0,1,0,1
16 to 26,Male,White,College graduate,Not employed for pay,$50k to under $75k,2,1,0,0,0,0,1,0,0,1,1
16 to 26,Female,White,College graduate,Not employed for pay,$100k to under $150k,8,2,1,2,1,0,1,0,0,0,2
16 to 26,Female,White,College graduate,Student,Less than $10k,5,1,0,0,0,1,0,0,1,1,1
16 to 26,Female,White,College graduate,Student,$100k to under $150k,7,1,0,0,0,1,0,0,0,1,1
16 to 26,Female,White,Some college,Have own business/self-employed,$100k to under $150k,50,1,0,0,0,0,1,0,1,0,1
16 to 26,Female,White,Some college,Employed part-time,Less than $10k,12,1,0,0,0,0,0,1,0,0,1
16 to 26,Male,White,Some college,Employed part-time,Less than $10k,51,2,0,1,0,1,1,0,1,1,2
16 to 26,Female,White,Some college,Employed part-time,$10k to under $20k,5,2,0,0,1,0,1,0,0,1,2
16 to 26,Male,White,Some college,Employed part-time,$10k to under $20k,48,3,0,0,2,0,1,0,1,1,3
16 to 26,Female,White,Some college,Employed part-time,$20k to under $30k,21,2,0,0,1,0,1,0,1,1,2
16 to 26,Female,White,Some college,Employed part-time,$30k to under $40k,9,3,0,1,1,2,0,0,3,2,4
16 to 26,Male,White,Some college,Employed part-time,$40k to under $50k,15,2,0,2,0,1,1,1,2,2,3
16 to 26,Female,White,Some college,Employed part-time,$50k to under $75k,30,4,0,1,1,1,2,0,2,3,4
16 to 26,Male,White,Some college,Employed part-time,$50k to under $75k,14,3,0,1,0,0,3,0,1,1,3
16 to 26,Female,White,Some college,Employed part-time,$75k to under $100k,4,1,0,0,0,0,1,1,1,0,2
16 to 26,Male,White,Some college,Employed part-time,$75k to under $100k,10,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,White,Some college,Employed part-time,$100k to under $150k,19,4,0,1,1,0,3,0,3,2,4
16 to 26,Male,White,Some college,Employed part-time,$100k to under $150k,11,3,0,2,2,0,2,0,2,2,4
16 to 26,Female,White,Some college,Employed full-time,Less than $10k,9,2,1,0,1,0,1,0,1,0,2
16 to 26,Female,White,Some college,Employed full-time,$10k to under $20k,7,2,0,0,1,0,1,0,1,1,2
16 to 26,Male,White,Some college,Employed full-time,$10k to under $20k,9,3,1,0,0,0,1,2,2,0,3
16 to 26,Female,White,Some college,Employed full-time,$20k to under $30k,33,2,0,0,1,0,0,1,2,1,3
16 to 26,Male,White,Some college,Employed full-time,$20k to under $30k,6,2,1,0,0,0,2,0,1,2,2
16 to 26,Female,White,Some college,Employed full-time,$40k to under $50k,20,1,1,0,0,0,1,0,0,0,1
16 to 26,Female,White,Some college,Employed full-time,$50k to under $75k,26,2,0,2,1,0,1,0,1,0,2
16 to 26,Male,White,Some college,Employed full-time,$50k to under $75k,8,2,0,1,0,0,1,1,1,1,2
16 to 26,Male,White,Some college,Employed full-time,$75k to under $100k,17,4,0,2,1,0,1,2,2,2,4
16 to 26,Female,White,Some college,Employed full-time,$100k to under $150k,7,2,0,1,1,0,2,0,0,2,3
16 to 26,Male,White,Some college,Employed full-time,$100k to under $150k,9,2,2,1,0,0,1,1,2,2,2
16 to 26,Female,White,Some college,Not employed for pay,Less than $10k,83,2,1,0,1,0,1,0,0,0,2
16 to 26,Male,White,Some college,Not employed for pay,Less than $10k,25,0,0,1,0,0,0,1,0,0,1
16 to 26,Male,White,Some college,Not employed for pay,$10k to under $20k,3,1,0,0,0,0,1,0,1,0,1
16 to 26,Female,White,Some college,Not employed for pay,$20k to under $30k,15,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,White,Some college,Not employed for pay,$30k to under $40k,51,2,0,0,0,0,1,1,2,1,2
16 to 26,Male,White,Some college,Not employed for pay,$30k to under $40k,5,0,0,1,0,1,0,0,1,0,1
16 to 26,Female,White,Some college,Not employed for pay,$50k to under $75k,8,2,0,1,1,1,0,0,1,2,2
16 to 26,Female,White,Some college,Not employed for pay,$75k to under $100k,30,1,0,1,0,0,1,0,1,0,1
16 to 26,Male,White,Some college,Not employed for pay,$75k to under $100k,20,2,0,2,0,1,1,0,1,0,2
16 to 26,Female,White,Some college,Not employed for pay,$100k to under $150k,50,6,0,3,0,0,6,0,1,1,6
16 to 26,Male,White,Some college,Not employed for pay,$100k to under $150k,20,4,2,1,2,0,2,0,4,2,4
16 to 26,Female,White,Post-graduate training/professional school,Have own business/self-employed,$100k to under $150k,2,1,0,0,1,0,0,0,1,1,1
16 to 26,Male,White,Post-graduate training/professional school,Employed part-time,$10k to under $20k,97,1,1,1,0,0,0,1,1,1,1
16 to 26,Female,White,Post-graduate training/professional school,Employed part-time,$75k to under $100k,20,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,White,Post-graduate training/professional school,Employed part-time,$100k to under $150k,97,1,0,0,0,0,1,0,0,1,1
16 to 26,Male,White,Post-graduate training/professional school,Employed full-time,$20k to under $30k,18,2,0,0,1,0,1,0,1,1,2
16 to 26,Female,White,Post-graduate training/professional school,Employed full-time,$30k to under $40k,10,1,0,1,0,0,1,0,1,0,1
16 to 26,Female,White,Post-graduate training/professional school,Employed full-time,$40k to under $50k,6,2,0,1,1,0,1,0,1,1,2
16 to 26,Female,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,8,1,0,1,0,0,1,0,0,0,1
16 to 26,Male,White,Post-graduate training/professional school,Employed full-time,$50k to under $75k,40,1,0,1,0,0,1,0,0,1,1
16 to 26,Female,White,Post-graduate training/professional school,Employed full-time,$100k to under $150k,30,1,0,1,0,1,0,0,1,1,1
16 to 26,Male,White,Post-graduate training/professional school,Student,Less than $10k,2,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,White,Post-graduate training/professional school,Student,$40k to under $50k,20,1,1,1,1,0,0,0,0,0,1
16 to 26,Female,White,Technical/trade/vocational school,Employed part-time,$20k to under $30k,3,1,0,0,0,0,1,0,1,1,1
16 to 26,Male,White,Technical/trade/vocational school,Employed part-time,$40k to under $50k,7,1,0,0,0,0,1,0,0,1,1
16 to 26,Male,White,Technical/trade/vocational school,Employed full-time,$10k to under $20k,97,1,0,1,0,0,1,0,1,1,1
16 to 26,Male,White,None,Employed full-time,$20k to under $30k,2,1,0,0,0,0,1,0,0,0,1
16 to 26,Female,White,None,Not employed for pay,$100k to under $150k,12,1,0,0,0,0,0,1,0,1,1
16 to 26,Male,White,None,Not employed for pay,$100k to under $150k,12,0,0,0,0,1,0,0,0,1,1
16 to 26,Female,White,None,Not employed for pay,Unknown,30,1,1,0,0,1,0,0,0,1,1
16 to 26,Female,Black or African-American,High school incomplete,Employed part-time,Less than $10k,1,0,0,1,0,1,0,0,0,1,1
16 to 26,Male,Black or African-American,High school incomplete,Employed part-time,$10k to under $20k,25,1,0,1,0,1,0,0,0,0,2
16 to 26,Female,Black or African-American,High school incomplete,Employed part-time,$20k to under $30k,10,1,0,0,1,0,0,0,0,0,1
16 to 26,Female,Black or African-American,High school incomplete,Employed part-time,$40k to under $50k,2,1,0,0,0,0,1,0,0,1,1
16 to 26,Male,Black or African-American,High school incomplete,Employed part-time,$75k to under $100k,30,1,0,0,0,1,0,0,1,0,1
16 to 26,Female,Black or African-American,High school incomplete,Employed part-time,$100k to under $150k,5,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,High school incomplete,Employed part-time,$100k to under $150k,4,4,0,0,0,2,0,2,2,1,4
16 to 26,Male,Black or African-American,High school incomplete,Employed full-time,Less than $10k,60,1,1,0,0,0,1,0,1,1,1
16 to 26,Female,Black or African-American,High school incomplete,Not employed for pay,$10k to under $20k,36,1,0,0,0,0,0,1,0,0,1
16 to 26,Male,Black or African-American,High school incomplete,Not employed for pay,$10k to under $20k,3,1,0,0,0,0,1,0,0,0,1
16 to 26,Male,Black or African-American,High school incomplete,Not employed for pay,$20k to under $30k,10,1,0,0,0,0,0,1,0,1,1
16 to 26,Female,Black or African-American,High school incomplete,Not employed for pay,$100k to under $150k,8,4,0,0,2,3,0,0,1,2,5
16 to 26,Male,Black or African-American,High school incomplete,Not employed for pay,$100k to under $150k,4,2,1,1,1,1,0,0,0,1,3
